Accident_Id,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
202200048038,15,8,2022,02:25,3,22,22084,1,1,1,6,RN12,"48,3660850000"," -2,3268700000"
202200020229,16,11,2022,17:30,5,27,27467,2,1,3,6,D675,"49,3512583877","0,5172371864"
202200033714,4,11,2022,19:00,5,974,97416,2,7,1,3,HUBERT DE LISLE(BOULEVARD)," -21,3391400000","55,4589800000"
202200019437,30,8,2022,10:05,1,77,77148,1,1,1,6,D94,"49,1014650000","3,1094740000"
202200037976,27,9,2022,12:40,1,75,75116,2,1,1,2,BD PERIPHERIQUE EXTERIEUR,"48,8777530000","2,2801840000"
202200011971,13,10,2022,07:05,5,44,44184,2,6,2,3,92 Boulevard du Docteur René Laënnec,"47,2700000000"," -2,2391300000"
202200038086,3,12,2022,18:10,2,49,49328,2,1,1,1,JAGUENEAU (QUAI DU),"47,2501700000"," -0,0533900000"
202200050396,10,7,2022,14:52,1,92,92024,2,1,1,6,PIERRE BEREGOVOY (RUE),"48,9038556402","2,2986588925"
202200054183,21,10,2022,08:55,1,54,54395,2,1,2,6,LIBERATION (AVENUE DE LA),"48,6957900000","6,1407800000"
202200049835,10,7,2022,17:37,1,94,94081,1,1,1,2,BRETELLE A86,"48,7735500000","2,4040700000"
202200054182,27,3,2022,15:20,1,25,25050,1,2,1,2,D461,"47,1029620000","6,6212100000"
202200026617,15,12,2022,13:25,1,68,68135,1,4,1,3,D105,"47,5890890000","7,5473930000"
202200035525,4,11,2022,14:00,1,93,93001,2,1,1,3,Avenue de la République,"48,9089600000","2,3868100000"
202200050012,7,6,2022,22:00,2,91,91027,1,1,1,3,AV FRANCOIS MITTERRAND,"48,7174800000","2,3709800000"
202200031561,18,6,2022,18:30,1,30,30258,1,1,1,6,Cc N 20 de Générac au Palus,"43,6854590000","4,3785080000"
202200043769,10,1,2022,07:45,2,24,24037,2,1,2,6,SIMOUNET (RUE DOCTEUR),"44,8532746420","0,4913538694"
202200032420,10,12,2022,17:45,3,34,34139,2,1,1,7,D15,"43,4231730000","3,2442480000"
202200052275,27,3,2022,17:00,1,13,13211,2,1,1,3,SAINT LOUP (BOULEVARD DE),"43,2849130000","5,4387080000"
202200039865,15,1,2022,18:30,5,21,21511,2,1,1,3,Route de Bussy,"47,7282333908","4,4604549407"
202200026708,14,12,2022,10:20,1,33,33039,1,1,2,2,ROCADE A 630,"44,7940000000"," -0,5396000000"
202200007442,20,3,2022,15:10,1,92,92036,1,1,1,6,AUTOROUTE A86,"48,9354173550","2,3198823491"
